Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,CAS,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPO+,QPD,QPD+,OPD,QvH,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
63,25,MaklerS,4,17,4,9,-32,24,18,1.3333,18,0.4286,0.872696969170857,0.1364,56,47,1.1915,27,0.6747,-9,0.565,--,0.8111,--,1.1033,90,0,3,4,18,E Seaboard Div 1,28,Seaboard,KenneyJ
63,25,MaloneS,15,7,3,33,37,127,89,1.4270,42,0.4330,1.20266371026983,0.5933,90,67,1.3433,35,0.6154,7,1.0263,--,1.2087,--,1.0484,0,2,0,12,13,R Central Div 3,6,Central,ScheelerD
63,25,MaloneyJ13,10,13,2,22,-14,88,68,1.2941,35,0.3571,1.21720992437624,0.4533,102,75,1.3600,36,0.6129,-1,0.8104,--,1.0662,--,0.97,91,1,0,8,23,C Metro,22,Metro,EtterT
63,25,MaloneyJ2,10,11,4,23,-10,79,65,1.2154,33,0.3204,1.01980390271856,0.4514,89,71,1.2535,30,0.6842,3,0.7718,--,1.1356,--,1.0046,99,0,1,4,20,D Metro Div 1,13,Metro,EtterT
63,25,MaloneyM,7,17,1,15,-41,109,81,1.3457,39,0.3786,1.14122740941497,0.5400,150,102,1.4706,35,0.5395,4,0.9186,--,1.0795,--,0.9181,98,1,0,9,7,A Horizon,22,Horizon,McClaryT
63,25,MaloneyMF,5,16,4,13,-37,28,29,0.9655,15,0.2459,1.04613574644976,0.2014,65,48,1.3542,36,0.5814,-21,0.4473,--,0.7828,--,0.8273,0,0,1,1,23,R Metro Div 3,19,Metro,RosbyG
63,25,MalteseJ,7,16,2,16,-18,82,69,1.1884,26,0.2737,1.39370011121475,0.4600,100,83,1.2048,25,0.7475,1,0.7337,--,1.2075,--,1.0212,92,0,0,9,24,C Skyline,29,Skyline,SamburgM
63,25,MamisN,12,8,5,28,2,109,84,1.2976,32,0.3265,1.22898331965898,0.5833,107,79,1.3544,35,0.6237,-3,0.9098,--,1.207,--,0.9502,103,1,1,10,12,B Midland,9,Midland,DeTuraM
63,25,MandelA,9,13,3,21,-7,77,61,1.2623,32,0.3441,1.26743836142039,0.4067,84,63,1.3333,38,0.6082,-6,0.7508,--,1.0149,--,0.9523,104,0,0,7,12,D Horizon Div 1,15,Horizon,BlosverenJ
63,25,MandellJ,13,9,3,29,27,165,113,1.4602,32,0.4384,1.13560556532627,0.7533,138,101,1.3663,27,0.6667,5,1.1917,--,1.42,--,1.1051,102,1,0,17,12,A Horizon,7,Horizon,SchwartzJL
63,25,ManjrekarC,18,6,1,37,38,133,86,1.5465,54,0.5400,1.09836241741968,0.5733,95,76,1.2500,33,0.6827,21,1.1133,--,1.256,--,1.2227,93,0,0,15,11,C Horizon,1,Horizon,MudrakJ
63,25,MankaI,8,14,3,18,-30,58,46,1.2609,31,0.3690,1.25475097130865,0.3194,88,66,1.3333,34,0.6222,-3,0.6884,--,0.9416,--,0.9912,84,0,1,3,9,D Central Div 1,19,Central,VeredJ
63,25,MannB,6,15,4,16,-17,67,56,1.1964,29,0.3152,1.27373466624725,0.3733,84,64,1.3125,31,0.6395,-2,0.6885,--,1.0128,--,0.9547,96,2,0,3,24,D Pacific Div 1,23,Pacific,LovejoyA
63,25,MannM,16,5,4,36,27,82,62,1.3226,38,0.3878,1.23676998669922,0.4133,55,48,1.1458,26,0.6977,12,0.8011,--,1.111,--,1.0855,95,1,0,5,20,E Highland Div 1,2,Highland,CarrBen12
63,25,MannorM,7,13,5,18,-25,42,38,1.1053,26,0.3171,0.899777750336159,0.2639,67,51,1.3137,35,0.6067,-9,0.581,--,0.8706,--,0.9238,94,0,1,4,23,E Highland Div 2,29,Highland,CrosslandC
63,25,MannT,14,8,3,31,20,61,44,1.3864,35,0.4375,1.2419339757008,0.2933,41,36,1.1389,22,0.6857,13,0.7308,--,0.979,--,1.1232,94,4,0,5,31,E Pacific Div 1,3,Pacific,LovejoyA
63,25,MaoW,10,12,3,18,-26,104,79,1.3165,23,0.3067,1.84780951399218,0.6583,130,95,1.3684,38,0.6238,-15,0.965,--,1.2821,--,0.9305,103,0,5,7,5,B Seaboard,23,Seaboard,LangeR
63,25,MaplesS,11,11,3,21,-8,93,70,1.3286,33,0.3667,1.49666295470958,0.5556,101,72,1.4028,42,0.5714,-9,0.9223,--,1.127,--,0.9381,99,0,4,8,17,C Midland Div 2,14,Midland,IracaneR
63,25,MarangesT,10,11,4,24,-14,67,48,1.3958,40,0.4444,1.01666120217111,0.3200,81,58,1.3966,34,0.5750,6,0.7644,--,0.895,--,1.0194,0,3,0,6,18,R Central Div 1,14,Central,JohnsonP
63,25,MarbukhL,5,12,8,18,-20,27,22,1.2273,21,0.3889,0.815843122174846,0.1467,47,41,1.1463,21,0.7042,0,0.5356,--,0.8509,--,1.0931,98,0,0,3,16,E Frontier Div 3,22,Frontier,WeitzmanM
63,25,MarcusJ2,11,11,3,24,-8,106,81,1.3086,37,0.3524,1.06883113727099,0.5625,114,83,1.3735,35,0.6154,2,0.9149,--,1.1779,--,0.9678,96,1,1,7,15,B Pacific,15,Pacific,MarcusJ2
63,25,MargolisB,14,4,7,35,27,177,126,1.4048,18,0.3000,0.773563184232549,0.8400,150,105,1.4286,30,0.6000,-12,1.14,--,1.44,--,0.9,100,0,0,19,2,A Corridor,2,Corridor,MargolisB
63,25,MariettaR,4,14,7,14,-46,35,29,1.2069,26,0.3768,0.833306666239986,0.2014,81,59,1.3729,36,0.5862,-10,0.5782,--,0.7876,--,0.963,0,3,1,2,21,R Coastal Div 2,22,Coastal,PahkJ
63,25,MarinariM,11,10,4,25,6,126,92,1.3696,33,0.3667,1.34818396370822,0.6389,120,89,1.3483,34,0.6421,-1,1.0056,--,1.281,--,1.0088,95,1,1,11,13,B Seaboard,12,Seaboard,DiGiorgioN
63,25,MarkeyM,20,3,2,42,59,136,91,1.4945,47,0.4947,1.26111062163476,0.6067,77,58,1.3276,30,0.6250,17,1.1014,--,1.2317,--,1.1197,0,3,0,13,15,R Coastal Div 2,2,Coastal,PliskaG
63,25,MarkovichM,13,6,6,32,24,86,67,1.2836,34,0.3505,1.31818056426273,0.4467,62,51,1.2157,27,0.6747,7,0.7972,--,1.1214,--,1.0252,116,0,0,8,21,E Coastal Div 2,5,Coastal,RipsteinE
63,25,MarksN,10,11,4,24,-2,86,66,1.3030,37,0.3700,1.16206712370672,0.4400,88,74,1.1892,26,0.7347,11,0.81,--,1.1747,--,1.1047,97,0,0,10,12,D Pacific Div 1,15,Pacific,MarksN
63,25,MarquetteR,8,13,4,20,-16,131,99,1.3232,27,0.3034,1.14821600755259,0.6600,147,111,1.3243,19,0.7532,8,0.9634,--,1.4132,--,1.0566,102,0,0,13,7,A Metro,16,Metro,ZawistowskiS
63,25,MarraccoM,12,9,4,28,8,111,89,1.2472,24,0.2581,1.26743836142039,0.5933,103,83,1.2410,25,0.7312,-1,0.8514,--,1.3245,--,0.9893,99,0,0,9,11,B Metro,6,Metro,HightowerT
63,25,MarreroI,8,12,5,21,-10,49,38,1.2895,28,0.3889,1.13560556532627,0.2533,59,52,1.1346,22,0.7317,6,0.6422,--,0.985,--,1.1206,0,2,0,3,22,R Highland Div 2,15,Highland,MaddyE
63,25,MarshankG,13,10,2,26,0,103,78,1.3205,29,0.3372,1.58290871499275,0.5652,103,74,1.3919,47,0.5727,-18,0.9024,--,1.1379,--,0.9099,105,0,2,9,19,C Skyline,17,Skyline,SternT
63,25,MarshankS,9,12,4,20,-2,97,71,1.3662,36,0.3956,1.43331782937351,0.5145,99,74,1.3378,38,0.6200,-2,0.9101,--,1.1345,--,1.0156,115,0,2,9,15,D Skyline Div 2,17,Skyline,SternT
63,25,MarshburnD,11,6,8,30,22,120,89,1.3483,36,0.3636,1.13419575030063,0.5933,98,80,1.2250,27,0.7245,9,0.9569,--,1.3178,--,1.0881,105,0,0,13,5,C Highland,8,Highland,KaleV
63,25,MartellMA,9,13,3,21,-4,85,74,1.1486,27,0.2547,0.958331884056875,0.4933,89,65,1.3692,33,0.6024,-6,0.748,--,1.0957,--,0.8571,0,2,0,6,24,R Pacific Div 2,17,Pacific,PenroseB
63,25,MartensM,5,16,4,14,-37,36,24,1.5000,28,0.5000,0.915641851380768,0.1600,73,54,1.3519,33,0.5976,-5,0.66,--,0.7576,--,1.0976,0,2,0,4,27,R Corridor Div 2,23,Corridor,KochanB
63,25,MartensS,9,9,7,25,-8,43,38,1.1316,26,0.3250,0.899777750336159,0.2533,51,37,1.3784,34,0.5584,-8,0.5783,--,0.8117,--,0.8834,89,0,0,4,27,E Corridor Div 2,17,Corridor,KochanB
63,25,MartinC,17,5,3,37,73,164,115,1.4261,31,0.3924,0.848528137423857,0.7667,91,62,1.4677,35,0.5270,-4,1.1591,--,1.2937,--,0.9194,0,3,0,16,4,R Skyline Div 1,3,Skyline,KahnKS
63,25,MartinelliR,16,8,1,33,9,57,49,1.1633,29,0.3187,1.0762899237659,0.3267,48,45,1.0667,17,0.7671,12,0.6454,--,1.0938,--,1.0858,93,2,0,4,22,E Seaboard Div 1,4,Seaboard,MatrosM
63,25,MartinoC,19,4,2,40,62,147,102,1.4412,41,0.4362,0.976524449258696,0.6800,85,65,1.3077,31,0.6437,10,1.1162,--,1.3237,--,1.0799,0,2,0,13,17,R Horizon Div 2,2,Horizon,TeneryD
63,25,MartinsJ,8,14,3,19,-15,77,62,1.2419,33,0.3367,1.20399335546339,0.4133,92,68,1.3529,33,0.6163,0,0.75,--,1.0296,--,0.953,108,2,0,6,16,D Highland Div 1,22,Highland,CrosslandC
63,25,MartinsonA,11,11,3,25,4,116,83,1.3976,41,0.4141,1.19063008529098,0.5533,112,87,1.2874,32,0.6832,9,0.9674,--,1.2365,--,1.0973,101,0,0,13,22,C Coastal,14,Coastal,ChaneskiJ
63,25,MartiranoR,10,8,7,27,7,54,46,1.1739,27,0.3214,1.15516232625549,0.3067,47,37,1.2703,25,0.6269,2,0.6281,--,0.9336,--,0.9483,95,1,0,4,30,E Horizon Div 2,11,Horizon,Hattman
63,25,MartynA,12,8,5,29,20,78,65,1.2000,27,0.2903,1.4422205101856,0.4333,58,54,1.0741,23,0.7500,4,0.7236,--,1.1833,--,1.0403,94,1,0,5,19,E Horizon Div 1,9,Horizon,BryantK
63,25,MartzJ,13,10,2,28,10,107,76,1.4079,42,0.4286,1.28,0.5067,97,69,1.4058,33,0.5823,9,0.9353,--,1.089,--,1.0109,0,2,0,13,18,R Pacific Div 2,9,Pacific,PenroseB
63,25,MaslowG,12,8,5,29,1,59,49,1.2041,31,0.3407,1.0762899237659,0.3267,58,46,1.2609,25,0.6528,6,0.6674,--,0.9795,--,0.9935,96,3,0,3,24,D Midland Div 1,8,Midland,BourlaD
63,25,MasonC,10,8,7,27,1,50,41,1.2195,31,0.3647,0.974884608556315,0.2733,49,39,1.2564,22,0.6508,9,0.638,--,0.9241,--,1.0155,92,2,0,4,14,E Horizon Div 2,12,Horizon,TeneryD
63,25,MasonKR,13,9,3,29,12,55,43,1.2791,30,0.3797,1.1838918869559,0.2867,43,37,1.1622,22,0.6812,8,0.6664,--,0.9679,--,1.0609,93,0,0,7,18,E Midland Div 2,10,Midland,DeTuraM
63,25,MasonR,8,12,5,21,-33,147,114,1.2895,12,0.1667,1.1689311356962,0.7600,180,123,1.4634,26,0.5738,-14,0.9267,--,1.3338,--,0.7405,105,0,0,11,6,A Skyline,19,Skyline,HorwitzJ
