Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,CAS,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPO+,QPD,QPD+,OPD,QvH,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
62,25,AastorpH,11,12,2,24,0,110,93,1.1828,18,0.1895,1.11427106217473,0.6200,110,89,1.2360,28,0.7282,-10,0.8095,--,1.3482,--,0.9177,93,0,0,7,11,B Highland,14,Highland,AastorpH
62,25,AbbottS,11,11,3,19,6,89,64,1.3906,31,0.4079,1.76816288842403,0.5614,83,62,1.3387,33,0.6163,-2,0.9693,--,1.1777,--,1.0242,0,0,6,8,10,R Frontier Div 2,16,Frontier,SausvilleK
62,25,AbdalianA,15,8,2,31,24,85,68,1.2500,31,0.3229,1.37171425595858,0.4722,61,50,1.2200,27,0.6707,4,0.7951,--,1.1429,--,0.9936,96,2,1,7,13,D Midland Div 1,5,Midland,BallisterE
62,25,AcedoS,6,16,3,14,-38,90,67,1.3433,39,0.3939,1.22376468326227,0.4653,128,95,1.3474,33,0.6526,6,0.8592,--,1.1179,--,1.0465,98,0,1,9,16,C Coastal,20,Coastal,HalpinM
62,25,AdamsE,16,6,3,35,38,129,91,1.4176,42,0.4242,1.16206712370672,0.6067,91,72,1.2639,28,0.6889,14,1.0309,--,1.2956,--,1.1131,0,1,0,13,16,R Pacific Div 2,4,Pacific,PenroseB
62,25,AdamsMe,10,9,6,23,13,96,67,1.4328,35,0.4430,1.73712406004868,0.5076,83,64,1.2969,32,0.6444,3,0.9506,--,1.152,--,1.0874,101,0,3,12,11,E Coastal Div 2,16,Coastal,PliskaG
62,25,AdelmanM,19,5,1,39,48,125,97,1.2887,26,0.2796,1.17711511756497,0.6467,77,62,1.2419,31,0.6702,-5,0.9263,--,1.3169,--,0.9498,115,1,0,10,20,D Skyline Div 2,2,Skyline,PeskinK
62,25,AderholdE,4,20,1,9,-48,83,64,1.2969,41,0.3796,0.803990049689671,0.4267,131,88,1.4886,47,0.5104,-6,0.8063,--,0.9371,--,0.89,96,1,0,5,20,C Frontier Div 2,18,Frontier,RyderM
62,25,AdusumilliV,15,4,6,36,46,186,128,1.4531,19,0.3800,0.908625335328044,0.8533,140,104,1.3462,24,0.7000,-5,1.2333,--,1.5533,--,1.08,108,0,0,19,3,A Central,4,Central,VeredJ
62,25,AgarSDW,10,13,2,22,-9,66,55,1.2000,30,0.3226,1.2,0.3667,75,61,1.2295,32,0.6701,-2,0.6893,--,1.0368,--,0.9927,90,0,0,4,24,D Midland Div 2,16,Midland,MorganEM
