Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
67,0,Aas S,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,C Memorial Div 1,1,Memorial,WestJ
67,0,AastorpH,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,A Meridian,1,Meridian,AastorpH
67,0,AbbottD,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,A Midland,1,Midland,DeTuraM
67,0,AbdalianA,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,C Midland Div 1,1,Midland,KushnerAB
67,0,AbelM,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,E Meridian Div 2,1,Meridian,AastorpH
67,0,Abou-SayedT,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,R Sequoia Div 2,1,Sequoia,HallJ
67,0,AbramsJ,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,R Alpine Div 1,1,Alpine,JohnsonP
67,0,AcedoS,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,E Badlands Div 2,1,Badlands,HalpinM
67,0,AdamsAJH,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,C Skyline Div 1,1,Skyline,JohnsonS2
67,0,AddoF,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,D Horizon Div 2,1,Horizon,RyderM
67,0,AdelmanM,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,B Badlands,1,Badlands,PeskinK
67,0,AdelsonJH,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,D Central Div 2,1,Central,WhitlockS
67,0,AdelsonJoshua,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,D Central Div 2,2,Central,WhitlockS
67,0,AderholdE,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,D Horizon Div 2,2,Horizon,RyderM
67,0,AdkinsJ,0,0,0,0,0,0,0,--,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,B Sugarloaf,1,Sugarloaf,Gillard-ByersN
