Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
64,25,BowyerP,8,14,3,18,-20,98,80,1.2250,32,0.2963,0.5556,118,91,1.2967,28,0.6989,4,0.8519,1.2545,0.9952,1,1,6,7,B Horizon,23,Horizon,MudrakJ
64,25,BoxR,12,10,3,27,2,76,62,1.2258,34,0.3333,0.4133,74,59,1.2542,34,0.6495,0,0.7466,1.0628,0.9828,1,0,6,9,D Skyline Div 1,10,Skyline,EdwardsG
64,25,BoydK,9,9,7,25,-5,55,48,1.1458,28,0.3111,0.3200,60,59,1.0169,14,0.8353,14,0.6311,1.1553,1.1464,0,0,6,20,D Midland Div 2,12,Midland,DeTuraM
64,25,BoyerA,14,7,4,32,21,88,68,1.2941,40,0.3704,0.4533,67,57,1.1754,24,0.7176,16,0.8237,1.1709,1.088,1,0,5,23,R Frontier Div 3,7,Frontier,KrizelJ
64,25,BoyerG,8,15,2,18,-26,42,34,1.2353,29,0.3816,0.2267,68,56,1.2143,30,0.6739,-1,0.6083,0.9006,1.0555,1,0,2,18,E Horizon Div 3,19,Horizon,BundroR
64,25,BoylanD,6,17,2,14,-58,96,82,1.1707,24,0.2353,0.5467,154,112,1.3750,25,0.6795,-1,0.782,1.2262,0.9148,0,0,6,17,A Metro,24,Metro,HightowerT
64,25,BoyleB,13,10,2,26,14,55,45,1.2222,26,0.3377,0.3261,41,33,1.2424,23,0.6349,3,0.6638,0.961,0.9726,2,2,2,17,E Seaboard Div 2,15,Seaboard,RosenbergAM
64,25,BoyleBH,6,17,2,12,-49,44,40,1.1000,23,0.2949,0.2899,93,69,1.3478,36,0.6129,-13,0.5848,0.9028,0.9078,2,2,1,24,R Central Div 1,27,Central,JohnsonP
64,25,BoyleJ,20,3,2,42,82,140,99,1.4141,39,0.4105,0.6600,58,48,1.2083,28,0.6667,11,1.0705,1.3267,1.0772,2,0,12,10,R Maritime Div 2,1,Maritime,RosbyG
64,25,BradburnA,9,12,4,22,-10,110,80,1.3750,40,0.4000,0.5333,120,87,1.3793,34,0.6180,6,0.9333,1.1513,1.018,1,0,10,14,C Coastal,15,Coastal,ShukanD
